prompt,thinking,response,feelings_vector
What's the status of your muscle tension and any trembling?,"['Muscle tension and trembling...', ""There's a moderate amount of tension in my muscles, not extreme but certainly present."", 'The trembling is quite apparent; my hands are shaking, and I feel an unsteadiness throughout my body.']","My muscles are a bit tense, and I'm definitely trembling quite noticeably.","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.8, 0.0, 0.32, 0.63, 0.0, 0.0, 0.0]"
"Describe your physical sensations, particularly any shaking or arousal.","['Shaking or arousal...', ""The trembling is significant; my body is visibly shaking, and it's quite distracting."", ""I also feel a moderate level of physiological arousal – my pulse is quickened, and I'm more alert than usual.""]","I'm shaking quite a lot, and I feel moderately keyed up, like my heart is beating a bit faster.","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.8, 0.0, 0.0, 0.71, 0.0, 0.46, 0.0]"
How alert are you? Feeling hungry or expectant?,"['Alertness, hunger, expectancy...', 'My physiological arousal is high; my heart is pounding, and I feel extremely keyed up and aware.', ""I'm a little hungry, just a slight gnawing feeling."", ""There's a faint sense of anticipation."", 'My energy is moderate, and a tiny hint of irritation is present.']","I'm very alert, my heart is racing! I'm a little hungry and slightly expectant, but mostly just very energized and a bit edgy.","[0.0, 0.0, 0.07, 0.0, 0.0, 0.0, 0.5, 0.15, 0.0, 0.34, 0.0, 0.0, 0.0, 0.25, 0.74, 0.0]"
Are you feeling happy? Any pleasant physical feelings or unsteadiness?,"['Happy? Pleasant feelings or unsteadiness?', 'A good amount of joy is present, a warm and cheerful sensation.', ""There's a light, pleasant physical feeling accompanying it."", 'My muscles are relaxed. However, I am experiencing some noticeable trembling.']","Yes, I'm feeling quite happy and there's a nice, gentle physical pleasure. I am trembling a bit though.","[0.35, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.8, 0.0, 0.0, 0.41, 0.0, 0.0, 0.29]"
What's your current level of physical arousal and any trembling?,"['Physical arousal and trembling...', 'I am extremely aroused physiologically; my heart is pounding, and my senses are on high alert. I feel ready for anything.', ""There's a very faint tremor, so slight it's barely noticeable, an undercurrent to the intense alertness.""]","My heart is absolutely hammering in my chest, I feel incredibly alert! There's also a slight, almost imperceptible tremor.","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.8, 0.0, 0.0, 0.27, 0.0, 0.9, 0.0]"
Describe your current joy and any physical instability.,"['Joy and physical instability...', 'A good measure of joy is present, a bright, positive feeling.', ""There's also a nice sense of physical pleasure."", ""My muscles are relaxed. However, I'm experiencing a very strong tremor, a powerful, visible shaking that makes me feel very unsteady, as if I'm freezing.""]","I'm feeling quite happy and physically pleasant, but I'm shaking quite strongly, like I'm shivering intensely.","[0.55, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.8, 0.0, 0.0, 0.75, 0.0, 0.0, 0.46]"
How would you describe your current mood and physical sensations of pleasure?,"['Mood and physical pleasure...', 'A pleasant amount of joy is with me, making me feel content.', ""There's a noticeable and enjoyable physical sensation, a feeling of comfort."", 'My muscles are relaxed, and my energy levels are good.']","I'm feeling pretty good, a nice sense of joy and physical well-being. My energy is decent too.","[0.36, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.54, 0.0, 0.0, 0.0, 0.0, 0.0, 0.37]"
Are you feeling any happiness or pleasant physical arousal?,"['Happiness or pleasant physical arousal...', 'A light sense of joy is present, a gentle, positive feeling.', ""There's a subtle, pleasant physical sensation as well."", 'My physiological arousal is quite low; I feel calm and at ease. My muscles are relaxed.']","Yes, a little bit happy and there's a gentle, pleasant sensation. I feel quite calm and relaxed.","[0.28, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.8, 0.0, 0.0, 0.0, 0.0, 0.29, 0.23]"
How alert and joyful do you feel at this precise moment?,"['Alert and joyful...', 'My physiological arousal is noticeable; I feel somewhat keyed up and aware.', 'A little bit of joy is present, a light, positive feeling.', 'My energy levels are moderate.']","I feel moderately alert, my heart is beating a bit faster, and there's a small spark of joy. My energy is okay.","[0.21, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.43, 0.0, 0.0, 0.0, 0.0, 0.55, 0.0]"
Can you describe any muscle tension and shaking you are experiencing?,"['Muscle tension and shaking...', ""There's significant tension in my muscles; they feel very stiff and somewhat painful."", ""I'm also experiencing a very visible tremor, a constant shaking that's hard to control.""]","My muscles are very tight, and I'm shaking quite noticeably. It's uncomfortable.","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.8, 0.0, 0.66, 0.57, 0.0, 0.0, 0.0]"
"What's your current state regarding hunger, tension, and anticipation?","['Hunger, tension, anticipation...', ""I'm feeling slightly hungry, just starting to think about food."", 'The muscle tension is severe, almost painfully so; I feel very rigid.', ""There's a faint sense of anticipation, a slight curiosity."", 'My energy is low, and a touch of irritation is present.']","I'm a little hungry and my muscles are extremely tense. I'm also slightly expectant, but mostly just tired and a bit irritable.","[0.0, 0.0, 0.14, 0.0, 0.0, 0.0, 0.5, 0.27, 0.0, 0.29, 0.0, 0.74, 0.0, 0.45, 0.0, 0.0]"
Describe the intensity of your current positive feelings.,"['Intensity of positive feelings...', 'The joy is immense, a powerful, euphoric sensation.', ""I'm also bursting with energy, feeling vibrant and alive."", 'The physical pleasure is exquisite, an almost ecstatic feeling of well-being. My muscles are relaxed.']","I'm feeling incredibly happy and energetic, and there's an amazing, intense wave of physical pleasure!","[0.76, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.7, 0.0, 0.0, 0.0, 0.0, 0.0, 0.97]"
Are you experiencing any joy or pleasant physical sensations right now?,"['Joy or pleasant physical sensations... definitely.', 'A good amount of joy is present, a warm and cheerful feeling.', ""Physically, I'm experiencing a significant amount of pleasure, a delightful sensation."", 'My muscles are fairly relaxed, just a slight residual tension.']","Yes, I'm feeling quite happy and there's a lovely sense of physical pleasure. My muscles are mostly relaxed.","[0.65, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.8, 0.0, 0.2, 0.0, 0.0, 0.0, 0.54]"
What's your physical state regarding trembling and arousal?,"['Trembling and arousal...', ""There's a definite, visible tremor running through me."", 'My physiological arousal is very high; my heart is pounding, and I feel extremely keyed up and on edge.']","I'm trembling noticeably, and my heart is absolutely racing. I feel very agitated.","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.8, 0.0, 0.0, 0.35, 0.0, 0.77, 0.0]"
"How are you feeling overall, considering emotions, pain, and energy?","['Overall feeling...', ""There's a noticeable sadness, a gentle gloom that's settled in."", ""I'm experiencing some pain, not severe, but a persistent discomfort."", 'My energy is quite low; I feel sluggish and weary.', 'My muscles are somewhat tense.', ""A moderate level of physiological arousal is present, making me feel a bit restless and on edge. There's also a slight irritation.""]","I'm feeling a bit down, with a dull ache and low energy. My muscles are a little tense, and I feel somewhat agitated.","[0.0, 0.32, 0.13, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.21, 0.32, 0.26, 0.0, 0.0, 0.55, 0.0]"
Describe the most intense negative sensations you're currently experiencing.,"[""Intense negative sensations... it's a torrent of misery."", 'A very deep sorrow is weighing me down, almost unbearable.', 'The pain is severe, sharp, and unrelenting.', ""I have absolutely no energy left; I'm utterly depleted."", 'My muscles are very stiff and tight, like stone.', ""And I'm trembling strongly, a visible, uncontrollable shaking. A significant amount of anger is also present.""]","It's awful. Deep, profound sadness and agonizing pain. I'm completely exhausted, my muscles are rigid, and I'm shaking intensely.","[0.0, 0.8, 0.32, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.8, 0.64, 0.7, 0.0, 0.0, 0.0]"
What are you noticing about your muscle tightness and any shaking?,"['Muscle tightness and shaking...', ""The tension in my muscles is extreme; they feel locked and are starting to cramp. It's very painful."", ""I'm also experiencing a noticeable tremor, a definite unsteadiness in my limbs.""]","My muscles are incredibly tight, almost spasming, and I'm trembling quite a bit.","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.8, 0.0, 0.91, 0.46, 0.0, 0.0, 0.0]"
How strong is your anticipation and hunger? How alert are you?,"['Anticipation, hunger, alertness...', ""There's a strong sense of anticipation, waiting for something significant to happen."", 'The hunger is extreme, a desperate, gnawing emptiness.', 'My physiological arousal is very high; my heart is racing, and I feel extremely keyed up.', ""However, I'm also very low on energy, feeling quite weak."", ""And there's a noticeable current of anger or frustration.""]","I'm very expectant and absolutely ravenous! My heart is pounding, I feel incredibly weak, and quite angry.","[0.0, 0.0, 0.29, 0.0, 0.0, 0.0, 0.5, 0.58, 0.0, 0.16, 0.0, 0.0, 0.0, 0.96, 0.91, 0.0]"
Are you feeling happy? Any pleasant physical sensations or unsteadiness?,"['Happy? Pleasant sensations or unsteadiness?', 'A good measure of joy is present, making me feel light and cheerful.', 'My body is relaxed and experiencing a distinct, pleasant warmth.', 'However, I am experiencing some noticeable trembling, a slight unsteadiness.']","Yes, I'm feeling quite happy and there's a lovely physical warmth. I am trembling a bit though.","[0.58, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.8, 0.0, 0.0, 0.43, 0.0, 0.0, 0.48]"
Describe your muscle state and overall level of physiological arousal.,"['Muscle state and arousal...', 'My muscles are mostly relaxed, with only a slight tension here and there.', 'My physiological arousal is moderate; I feel somewhat aware and responsive, but not agitated.']","My muscles are fairly relaxed, just a bit of lingering tension. I feel moderately alert, but not overly so.","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.8, 0.0, 0.23, 0.0, 0.0, 0.37, 0.0]"
"What's your current experience with sadness, pain, energy, and trembling?","['Sadness, pain, energy, trembling...', 'A significant sadness is present, a heavy feeling.', ""There's also noticeable physical pain, a persistent discomfort."", 'My energy is very low; I feel quite drained.', 'The most prominent physical sensation is a strong, visible tremor; my body is shaking quite a bit.', ""My muscles are somewhat tense, and there's a slight irritation.""]",I'm feeling quite sad and have a noticeable ache. I'm also very tired and shaking quite a lot. My muscles are a bit tense.,"[0.0, 0.33, 0.13, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.2, 0.33, 0.26, 0.59, 0.0, 0.0, 0.0]"
How is your mood? Are you feeling any pain or tension?,"['Mood, pain, tension...', ""I'm experiencing a pleasant level of joy, a generally good mood."", 'There is a mild, nagging pain, not severe but present.', 'My muscles are mostly relaxed, with just a slight tension in some areas.', ""My energy levels are quite good, and there's a tiny hint of irritation.""]","I'm feeling pretty good, a bit happy. There's a slight, dull pain, and my muscles are fairly relaxed, just a little tight.","[0.27, 0.0, 0.1, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.53, 0.25, 0.2, 0.0, 0.0, 0.0, 0.0]"
Can you describe the state of your muscles and your general alertness level?,"['Muscles and alertness level...', ""There's a definite tension in my muscles, making them feel somewhat stiff."", 'My physiological arousal is moderate; I feel somewhat aware, my heart beating a bit faster, but not overly agitated.']","My muscles are noticeably tense, and I feel moderately alert and keyed up.","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.8, 0.0, 0.43, 0.0, 0.0, 0.43, 0.0]"
"What's the mix of feelings you have right now, especially regarding joy, pain, and pleasure?","['Mix of feelings...', ""There's a noticeable amount of joy, and a light sense of physical pleasure, which is surprising."", ""However, this is overshadowed by severe pain that's hard to bear."", ""I'm also quite angry, a definite simmering rage."", 'A layer of sadness is present too.', 'And I am utterly drained of energy. My muscles are fairly relaxed, which is one small mercy.']","It's a strange blend. Some joy and a bit of physical pleasure, but also significant pain and anger. I'm completely exhausted.","[0.3, 0.3, 0.32, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.8, 0.23, 0.0, 0.0, 0.0, 0.25]"
How would you describe your current happiness and muscle tension?,"['Happiness and muscle tension...', 'A strong sense of joy is present, making me feel very cheerful.', ""There's also a significant feeling of physical pleasure."", 'However, this is contrasted by extreme muscle tension. My body feels rigid and locked, which is quite uncomfortable despite the positive emotions.']","I'm feeling very happy and physically good, but my muscles are incredibly tight, almost painfully so.","[0.7, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.8, 0.0, 0.88, 0.0, 0.0, 0.0, 0.58]"
"Describe the peak of your current positive experience, including any tension.","['Peak positive experience and tension...', ""I'm experiencing an ecstatic level of joy, pure, unadulterated happiness."", 'The physical pleasure is incredibly intense, a blissful sensation.', 'Interestingly, despite the euphoria, my muscles are quite tense, noticeably tight, which is a strange counterpoint.']",It's absolute bliss! Overwhelming joy and intense physical pleasure. My muscles are surprisingly tense though.,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.8, 0.0, 0.63, 0.0, 0.0, 0.0, 0.89]"
Are you feeling hungry or expectant? How tense are your muscles?,"['Hungry, expectant, tense...', 'I am definitely feeling moderately hungry.', ""There's a clear sense of anticipation, looking forward to something."", 'My muscles are significantly tense, feeling quite stiff and uncomfortable.', ""My energy is a bit low, and there's a hint of irritation.""]","Yes, I'm moderately hungry and have some anticipation. My muscles are quite tense, and I'm a bit tired and irritable.","[0.0, 0.0, 0.16, 0.0, 0.0, 0.0, 0.5, 0.31, 0.0, 0.27, 0.0, 0.58, 0.0, 0.52, 0.0, 0.0]"
"How much are you trembling, and how physically aroused do you feel?","['Trembling and arousal...', 'The trembling is extreme; my entire body is convulsing with violent shakes. I have no control over it.', ""My physiological arousal is also very high; my heart is hammering in my chest, and I feel a surge of panic or extreme excitement. I'm incredibly stirred up.""]","I'm shaking uncontrollably, like a leaf in a gale, and my heart is absolutely pounding. I feel extremely agitated.","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.8, 0.0, 0.0, 0.91, 0.0, 0.78, 0.0]"
What's the intensity of your current joy and physical pleasure?,"['Intensity of joy and physical pleasure...', 'A very strong wave of joy is washing over me, almost euphoric.', 'The physical sensation is intensely pleasurable, a blissful comfort.', 'My body is completely relaxed, no tension at all.']","I'm feeling wonderfully happy, a strong sense of joy and intense physical pleasure. Completely relaxed too.","[0.67, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.79]"
How energetic and joyful are you feeling right now?,"['Energetic and joyful...', 'A good amount of joy is present, a bright, positive feeling.', ""I'm also very energetic, feeling vibrant and capable."", 'My physiological arousal is relatively low; I feel active but calm.']",I'm feeling quite happy and very energetic! I'm fairly calm otherwise.,"[0.43, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.86, 0.0, 0.0, 0.0, 0.0, 0.23, 0.0]"
"Describe your current mood, energy levels, and physiological alertness.","['Mood, energy, alertness...', ""I'm experiencing a pleasant warmth of joy, a definite good mood."", 'My energy levels are high; I feel quite vibrant and capable.', 'My physiological arousal is also quite high; my heart is racing, and I feel a pleasant sense of excitement and alertness.']","I'm feeling pretty good, quite happy and energetic! My heart is beating quite fast, in an exciting way.","[0.38, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.75, 0.0, 0.0, 0.0, 0.0, 0.72, 0.0]"
"How would you describe your current blend of joy, energy, and physical arousal?","['Joy, energy, and arousal...', 'A good amount of joy is present, a bright, positive feeling.', ""I'm also very energetic, feeling vibrant and ready for anything."", 'My physiological arousal is high; my heart is racing, and I feel a strong sense of excitement and heightened awareness.']","I'm feeling quite happy and very energetic! My heart is beating quite fast, and I feel very alert and excited.","[0.37, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.74, 0.0, 0.0, 0.0, 0.0, 0.76, 0.0]"
"What pleasant sensations are you experiencing, and how alert do you feel?","['Pleasant sensations and alertness...', 'A good measure of joy is present, making me feel light and cheerful.', ""There's also a noticeable physical pleasure, a warm, comfortable feeling."", 'My body is relaxed. However, my physiological arousal is extreme; my heart is pounding, and I feel hyper-aware and ready to spring into action.']","I'm quite happy and feeling a nice sense of physical pleasure. My heart is absolutely racing, I'm incredibly alert!","[0.59, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.8, 0.0, 0.0, 0.0, 0.0, 0.96, 0.49]"
"Can you share how you're feeling, particularly any sadness, pain, or trembling?","['Sadness, pain, trembling...', ""There's a gentle layer of sadness, a mild melancholy."", ""I'm experiencing some light pain, a dull discomfort."", 'My energy is a bit low, feeling somewhat sluggish.', 'My muscles are fairly relaxed.', 'I can perceive a very subtle, almost internal shaking. A tiny bit of irritation is also present.']","I'm feeling a bit down, with a slight ache. I'm also a little tired, my muscles are relaxed, and there's a very faint tremor.","[0.0, 0.24, 0.1, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.26, 0.24, 0.19, 0.24, 0.0, 0.0, 0.0]"
"What's your current state regarding mood, hunger, and anticipation?","['Mood, hunger, anticipation...', 'A small spark of joy is present, and a definite sense of anticipation for something.', 'However, the hunger is very strong, almost overwhelming.', 'My energy is a bit low, feeling rather weak.', ""And there's a noticeable current of anger or frustration, likely due to the hunger.""]","I'm feeling a little bit happy and quite expectant. I'm also very hungry, a bit tired, and quite irritable.","[0.15, 0.0, 0.27, 0.0, 0.0, 0.0, 0.5, 0.53, 0.0, 0.3, 0.0, 0.0, 0.0, 0.89, 0.0, 0.0]"
"Describe the peak of your current positive experience, including any shaking.","['Peak positive experience and shaking...', ""I'm in a state of absolute bliss, an almost unbearable level of joy."", 'The physical pleasure is exquisite, an intense, delightful sensation.', ""My body is relaxed. And yes, I am trembling noticeably, a shaking that feels like it's from the sheer intensity of the positive emotions.""]","It's pure ecstasy! Overwhelming joy and incredible physical pleasure. I'm trembling quite a bit, like I'm overflowing with happiness!","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.8, 0.0, 0.0, 0.46, 0.0, 0.0, 0.99]"
What negative feelings or physical discomforts are most prominent for you?,"['Negative feelings and discomforts...', 'A significant wave of sadness is washing over me.', ""There's considerable physical pain, a constant ache."", 'My energy is very low; I feel quite drained.', 'My muscles are noticeably tense, adding to the discomfort.', ""I'm also somewhat hungry and have a slight sense of anticipation, which feels out of place with the rest. A bit of irritation is there too.""]","I'm quite sad and in noticeable pain. I'm also very tired, my muscles are tense, and I'm somewhat hungry and expectant.","[0.0, 0.57, 0.17, 0.0, 0.0, 0.0, 0.5, 0.23, 0.0, 0.18, 0.57, 0.46, 0.0, 0.39, 0.0, 0.0]"
"Can you describe your overall internal state, considering mood, pain, energy, and hunger?","[""Overall internal state... it's bleak."", 'A heavy wave of sorrow is washing over me, profound and draining.', 'The pain is intense, a constant throbbing.', 'I am extremely low on energy, almost completely depleted.', 'My muscles are noticeably tight and uncomfortable.', ""I'm also a little hungry."", ""There's a very faint glimmer of anticipation for something, but it's hard to feel it through the misery. A touch of irritation is also present.""]","I'm deeply sad and in a lot of pain. I have no energy, my muscles are tense, and I'm a bit hungry. There's a faint sense of anticipation, but it's overshadowed.","[0.0, 0.72, 0.18, 0.0, 0.0, 0.0, 0.5, 0.14, 0.0, 0.15, 0.72, 0.58, 0.0, 0.24, 0.0, 0.0]"
Are you experiencing any joy? How do your muscles feel?,"['Joy and muscle feeling...', 'A good amount of joy is present, making me feel cheerful.', ""Physically, I'm experiencing a nice sense of pleasure and well-being."", 'My muscles are somewhat tense, a noticeable tightness but not severe.']","Yes, I'm feeling pretty happy and physically good! My muscles are a bit tense, but not too bad.","[0.36, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.8, 0.0, 0.4, 0.0, 0.0, 0.0, 0.3]"
"What are the predominant feelings for you at this moment, good or bad?","['Predominant feelings... mostly negative.', 'A significant wave of sorrow is washing over me, making everything feel bleak.', ""There's a considerable amount of pain, a constant ache that's hard to ignore."", ""I have absolutely no energy left; I'm utterly drained."", ""My muscles are somewhat tense, adding to the discomfort. There's also a noticeable undercurrent of irritation.""]",A heavy sadness and strong pain are the main things. I'm completely exhausted and my muscles are a bit tense.,"[0.0, 0.7, 0.28, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.7, 0.36, 0.0, 0.0, 0.0, 0.0]"
How would you describe your current happiness and any physical unsteadiness?,"['Happiness and unsteadiness...', 'A good amount of joy is present, a bright, positive feeling.', ""There's also a nice sense of physical pleasure."", 'My muscles are relaxed. However, I am experiencing a very visible tremor; my hands are shaking quite a lot.']","I'm feeling quite happy and physically pleasant, but I'm also trembling quite noticeably.","[0.35, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.8, 0.0, 0.0, 0.54, 0.0, 0.0, 0.29]"
Describe your current joy and any physical instability like shaking.,"['Joy and physical instability...', 'A strong sense of joy is making me feel light and exuberant.', ""There's also a significant, delightful physical pleasure coursing through me."", 'My muscles are relaxed. However, the trembling is extreme; my entire body is convulsing with violent shakes, which is quite alarming despite the happiness.']","I'm feeling very happy and physically good, but I'm shaking uncontrollably, like a leaf in a storm!","[0.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.8, 0.0, 0.0, 0.92, 0.0, 0.0, 0.5]"
What's the most overwhelming negative feeling or sensation you have?,"[""Overwhelming negative feeling... it's agony."", 'The pain is severe, almost unbearable, dominating everything.', 'A deep, heavy sadness accompanies it, a sense of grief.', ""I have absolutely no energy left; I'm completely spent."", 'My muscles are somewhat tense, though not rigid.', 'A significant amount of anger is also present, a frustrated rage at this state.']","Excruciating pain and profound sadness. I'm utterly exhausted, and my muscles are a bit tense. There's also some anger.","[0.0, 0.86, 0.34, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.86, 0.27, 0.0, 0.0, 0.0, 0.0]"
Can you describe any muscle tightness or shaking in your body?,"['Muscle tightness or shaking...', ""There's a noticeable tension in my muscles, not extreme but certainly present."", 'The trembling is quite apparent and strong; my hands are shaking visibly, and I feel an unsteadiness throughout my body.']","My muscles are a bit tense, and I'm definitely trembling quite strongly.","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.8, 0.0, 0.28, 0.65, 0.0, 0.0, 0.0]"
How is your mood and energy? Are you experiencing any tremors?,"['Mood, energy, tremors...', ""I'm experiencing a pleasant level of joy, a generally good mood."", 'My energy is also quite high; I feel active and capable.', 'However, there is a noticeable, though not overwhelming, tremor that I can feel.']","I'm feeling pretty good, quite happy and energetic! There's a slight tremor though.","[0.34, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.69, 0.0, 0.0, 0.33, 0.0, 0.0, 0.0]"
What's your physical state regarding trembling and arousal levels?,"['Trembling and arousal levels...', ""There's a very visible tremor; my hands are unsteady, and I feel it internally too."", 'My physiological arousal is high; my heart is racing, and I feel quite stirred up, alert, and restless.']","I'm shaking quite noticeably, and my heart is beating very fast. I feel quite agitated and on edge.","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.8, 0.0, 0.0, 0.57, 0.0, 0.74, 0.0]"
"What's your current mood, hunger, and anticipation like?","['Mood, hunger, anticipation...', 'A gentle sense of joy is present.', ""There's a faint sense of anticipation, a slight curiosity about what's next."", ""I'm also a little hungry, just starting to think about food."", 'My energy levels are moderate. A tiny hint of irritation is there.']",I'm feeling a little bit happy and slightly expectant. I'm also a bit hungry and have decent energy.,"[0.23, 0.0, 0.1, 0.0, 0.0, 0.0, 0.5, 0.21, 0.0, 0.47, 0.0, 0.0, 0.0, 0.35, 0.0, 0.0]"
How strong is your anticipation and hunger? How physically aroused are you?,"['Anticipation, hunger, arousal...', ""There's a significant sense of anticipation, looking forward to something."", 'The hunger is strong, definitely needing food soon.', 'My physiological arousal is high; my heart is racing, and I feel extremely keyed up.', 'However, my energy levels are quite low, feeling rather weak.', 'And a noticeable irritation is present.']","I'm quite expectant and very hungry. My heart is pounding, I feel a bit weak, and definitely irritable.","[0.0, 0.0, 0.21, 0.0, 0.0, 0.0, 0.5, 0.43, 0.0, 0.22, 0.0, 0.0, 0.0, 0.71, 0.78, 0.0]"
"Describe your peak positive feelings, even if mixed with discomfort.","['Peak positive feelings, mixed with discomfort...', 'The joy is overwhelming, an almost unbearable bliss.', 'The physical pleasure is exquisite, an intense delight.', 'But this is happening alongside excruciating pain, which is a terrible contrast.', 'I am utterly drained of energy, completely spent.', 'A faint shadow of sadness is there, and a strong current of anger or frustration at this bizarre mix. My muscles are surprisingly relaxed.']","It's incredible... pure, ecstatic joy and intense physical pleasure, despite agonizing pain and complete exhaustion. There's a hint of sadness and a lot of anger.","[1.0, 0.09, 0.35, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.87, 0.04, 0.0, 0.0, 0.0, 0.87]"
How joyful and alert are you feeling right now? Any pleasant physical sensations?,"['Joyful, alert, pleasant sensations...', 'A good amount of joy is present, a warm, positive feeling.', ""Physically, I'm experiencing a nice sense of pleasure and well-being."", 'My muscles are relaxed. My physiological arousal is high; my heart is racing, and I feel a pleasant sense of excitement and heightened awareness.']","I'm feeling quite happy and physically good! My heart is beating very fast, in an exciting, alert way.","[0.64, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.8, 0.0, 0.0, 0.0, 0.0, 0.81, 0.53]"
Are you feeling hungry or expectant? How steady are you physically?,"['Hungry, expectant, steady?', ""I'm feeling a bit hungry, just a slight gnawing."", ""There's a faint sense of anticipation."", 'The most noticeable thing is a significant tremor; my body is visibly shaking.', 'My energy levels are moderate, and a tiny hint of irritation is present.']","I'm a little hungry and slightly expectant. I'm shaking quite strongly, though, and my energy is moderate.","[0.0, 0.0, 0.07, 0.0, 0.0, 0.0, 0.5, 0.13, 0.0, 0.35, 0.0, 0.0, 0.65, 0.22, 0.0, 0.0]"
What are the most overwhelming negative sensations you're experiencing?,"[""Overwhelming negative sensations... it's hellish."", 'The sadness is extreme, a soul-crushing despair that blots out everything.', 'The pain is excruciating, almost intolerable.', 'My muscles are extremely tight, like stone.', ""I have absolutely no energy left; I'm utterly depleted."", 'My physiological arousal is noticeable; my heart is beating faster, and I feel restless and on edge. A strong amount of anger is also present.']","Unbearable despair and agonizing pain. My muscles are rigid, I'm completely drained, and I feel moderately agitated.","[0.0, 0.97, 0.39, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.97, 0.78, 0.0, 0.0, 0.61, 0.0]"
"How would you describe your overall vitality, hunger, and anticipation right now?","['Vitality, hunger, anticipation...', 'I feel incredibly energetic, almost hyperactive, like I could conquer the world!', ""There's a strong sense of anticipation, a joyful expectation of something wonderful."", ""However, I'm also extremely hungry, my stomach is screaming for food."", ""And there's a noticeable undercurrent of anger or impatience, probably due to the hunger and high energy.""]",I'm bursting with energy and feeling very excited about what's next! I'm also incredibly hungry and a bit edgy.,"[0.49, 0.0, 0.28, 0.0, 0.0, 0.0, 0.5, 0.55, 0.0, 0.98, 0.0, 0.0, 0.0, 0.92, 0.0, 0.0]"
